TITLE,FIRST NAME,LAST NAME,NRIC,DOB,AGE,POSTAL CODE,BLOCK NO.,STREET NAME,BUILDING NAME,GENDER,RACE,MARITAL STATUS,GROSS ANNUAL INCOME,HOUSING TYPE
DR,RAYMOND,LIM,S2612993A,21-06-1959,56,018953,18,MARINA GARDENS DRIVE,GARDENS BY THE BAY,MALE,CHINESE,DIVORCED,100000,CONDO
MR,SAM,KOH,S2002451H,02-09-1942,72,489843,27,BEDOK RIA CRESCENT,BEDOK RIA,MALE,CHINESE,MARRIED,NA,CONDO
MR,PATRICK,HOW,S1637383D,04-01-1933,82,536336,38,LORONG PAYA LEBAR,,MALE,CHINESE,MARRIED,NA,HDB 5-ROOM
MS,CYNTHIA,TAN,S6059491K,15-05-1960,55,559508,4,BORTHWICK DRIVE,SERANGOON GARDEN ESTATE,FEMALE,CHINESE,MARRIED,70000,LANDED
MR,SUNDAR K,THIRU,S9772221H,06-08-1997,17,589615,893A,BUKIT TIMAH ROAD,,MALE,INDIAN,SINGLE,NA,LANDED
MR,ERIC,YEO,S8413052D,07-12-1984,30,548049,12D,KOVAN ROAD,KOVAN GARDEN,MALE,CHINESE,MARRIED,50000,HDB 5-ROOM
MR,VICTOR,JANG,S9478086A,29-01-1994,21,018985,6,MARINA BOULEVARD,THE SAIL @ MARINA BAY,MALE,CHINESE,SINGLE,60000,CONDO
MR,FREDERICK,PUAH,S1881033F,10-05-1941,74,544804,11,SENGKANG EAST AVENUE,AUSTVILLE RESIDENCES,MALE,CHINESE,DIVORCED,NA,HDB 4-ROOM
MS,EVELYN,LOW,S5968767K,11-08-1959,55,418509,150,JALAN SENANG,,FEMALE,CHINESE,SINGLE,80000,HDB 4-ROOM
MR,AH KAU,LEE,S0950655A,22-12-1939,75,465746,237,TANAH MERAH KECHIL AVENUE,D'MANOR,MALE,CHINESE,WIDOWED,90000,HDB 3-ROOM
MR,JAMES,LOW,S8771918I,12-04-1987,28,560101,101,ANG MO KIO AVENUE 3,,MALE,CHINESE,SINGLE,50000,HDB 4-ROOM
MR,JOHN,KERRY,S0251865A,09-10-1945,69,466292,25,KEW AVENUE,,MALE,OTHERS,MARRIED,60000,LANDED
MR,DAVE,ANDERSON,S2021612C,02-01-1956,59,529600,13,TAMPINES AVENUE 8,ARC AT TAMPINES,MALE,OTHERS,MARRIED,70000,HDB 4-ROOM
MR,MOHAMMAD BIN,IRFAN,S1077318K,08-07-1957,58,544223,223D,COMPASSVALE WALK,,MALE,MALAY,SEPARATED,60000,HDB 3-ROOM
MDM,NURANI BINTE,ABDUL,S2945512K,03-07-1947,68,427651,438B,JOO CHIAT ROAD,,FEMALE,MALAY,MARRIED,NA,HDB 5-ROOM
MS,TRACY AH LIAN,FOO,S2441710G,17-04-1953,62,528887,43,TAMPINES STREET 92,,FEMALE,CHINESE,MARRIED,40000,HDB 5-ROOM
MS,CATHERINE,LEE,S9423104C,24-10-1994,20,470774,774,BEDOK RESERVOIR VIEW,,FEMALE,CHINESE,SINGLE,NA,HDB EM
