TITLE,FIRST NAME,LAST NAME,NRIC,DOB,AGE,POSTAL CODE,BLOCK NO.,STREET NAME,BUILDING NAME,GENDER,HEIGHT (CM),WEIGHT (KG),HEART DISEASE,RENAL DISEASE,CANCER,STROKE,DIABETES
DR,RAYMOND,LIM,S2612993A,21-06-1959,56,018953,18,MARINA GARDENS DRIVE,GARDENS BY THE BAY,MALE,1.6,82,YES,NO,NO,NO,YES
MR,SAM,KOH,S2002451H,02-09-1942,72,489843,27,BEDOK RIA CRESCENT,BEDOK RIA,MALE,1.62,80,NO,YES,NO,NO,NO
MR,PATRICK,HOW,S1637383D,04-01-1933,82,536336,38,LORONG PAYA LEBAR,,MALE,1.64,78,NO,NO,YES,NO,NO
MS,CYNTHIA,TAN,S6059491K,15-05-1960,55,559508,4,BORTHWICK DRIVE,SERANGOON GARDEN ESTATE,FEMALE,1.66,76,NO,NO,NO,YES,NO
MR,SUNDAR K,THIRU,S9772221H,06-08-1997,17,589615,893A,BUKIT TIMAH ROAD,,MALE,1.88,74,NO,NO,NO,NO,NO
MR,ERIC,YEO,S8413052D,07-12-1984,30,548049,12D,KOVAN ROAD,KOVAN GARDEN,MALE,1.9,72,NO,NO,NO,NO,NO
MR,VICTOR,JANG,S9478086A,29-01-1994,21,018985,6,MARINA BOULEVARD,THE SAIL @ MARINA BAY,MALE,1.92,70,NO,NO,NO,NO,NO
MR,FREDERICK,PUAH,S1881033F,10-05-1941,74,544804,11,SENGKANG EAST AVENUE,AUSTVILLE RESIDENCES,MALE,1.86,68,YES,NO,NO,NO,NO
MS,EVELYN,LOW,S5968767K,11-08-1959,55,418509,150,JALAN SENANG,,FEMALE,1.68,66,NO,YES,NO,NO,YES
MR,AH KAU,LEE,S0950655A,22-12-1939,75,465746,237,TANAH MERAH KECHIL AVENUE,D'MANOR,MALE,1.74,64,NO,NO,YES,NO,NO
MR,JAMES,LOW,S8771918I,12-04-1987,28,560101,101,ANG MO KIO AVENUE 3,,MALE,1.78,62,NO,NO,NO,NO,NO
MR,JOHN,KERRY,S0251865A,09-10-1945,69,466292,25,KEW AVENUE,,MALE,1.8,60,NO,NO,NO,NO,NO
MR,DAVE,ANDERSON,S2021612C,02-01-1956,59,529600,13,TAMPINES AVENUE 8,ARC AT TAMPINES,MALE,1.82,58,NO,NO,NO,YES,NO
MR,MOHAMMAD BIN,IRFAN,S1077318K,08-07-1957,58,544223,223D,COMPASSVALE WALK,,MALE,1.84,56,NO,NO,YES,NO,NO
MDM,NURANI BINTE,ABDUL,S2945512K,03-07-1947,68,427651,438B,JOO CHIAT ROAD,,FEMALE,1.76,54,NO,YES,NO,NO,NO
MS,TRACY AH LIAN,FOO,S2441710G,17-04-1953,62,528887,43,TAMPINES STREET 92,,FEMALE,1.7,52,YES,NO,NO,NO,YES
MS,CATHERINE,LEE,S9423104C,24-10-1994,20,470774,774,BEDOK RESERVOIR VIEW,,FEMALE,1.72,50,NO,NO,NO,NO,NO
